claim,veracity,label,evidence,evidence_label,article
"ice berg melts, ocean level remains the same.",false,refutes,"""the melting of floating ice raises the ocean level"".",refutes,sea level rise
scientists studying antarctica sea ice warn a rise in accumulation could spark the next ice age.,false,refutes,"""a 40-y record reveals gradual antarctic sea ice increases followed by decreases at rates far exceeding the rates seen in the arctic"".",refutes,antarctica
scientists studying antarctica sea ice warn a rise in accumulation could spark the next ice age.,false,refutes,"according to research published in nature geoscience, human emissions of carbon dioxide (co2) will defer the next ice age.",not_enough_info,ice age
scientists studying antarctica sea ice warn a rise in accumulation could spark the next ice age.,false,refutes,"based on changes of antarctica's ice mass balance over millions of years, due to natural climate fluctuations, researchers concluded that the sea-ice acts as a barrier for warmer waters surrounding the continent.",not_enough_info,sea level rise
more than 500 scientists and professionals in climate and related fields have sent a 'european climate declaration' to the secretary-general of the united nations,true,supports,"this scientific opinion is expressed in synthesis reports, by scientific bodies of national or international standing, and by surveys of opinion among climate scientists.",supports,scientific consensus on climate change
more than 500 scientists and professionals in climate and related fields have sent a 'european climate declaration' to the secretary-general of the united nations,true,supports,the millennium ecosystem assessment is an international synthesis by over 1000 of the world's leading biological scientists that analyzes the state of the earth's ecosystems and provides summaries and guidelines for decision-makers.,supports,sustainability
more than 500 scientists and professionals in climate and related fields have sent a 'european climate declaration' to the secretary-general of the united nations,true,supports,"it was signed by 15,364 scientists from 184 countries, what made it the letter with the most signatures of scientists in history in november 2019, more than 11,000 scientists from 153 countries published a letter in which they warn about big threats to sustainability from climate change if big changes in policies will not happen.",not_enough_info,sustainability
unprecedented climate change has caused sea level at sydney harbour to rise approximately 0.0 cm over the past 140 years.,false,refutes,"between 1993 and 2017, the global mean sea level rose on average by 3.1 ± 0.3 mm per year, with an acceleration detected as well.",refutes,global warming
"human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",false,refutes,"european science foundation in a 2007 position paper states: there is now convincing evidence that since the industrial revolution, human activities, resulting in increasing concentrations of greenhouse gases have become a major agent of climate change ... on-going and increased efforts to mitigate climate change through reduction in greenhouse gases are therefore crucial.",refutes,scientific consensus on climate change
"co2 does not cause climate change, it responds to it [...]",true,supports,increasing atmospheric co 2 concentrations lead to further acidification ...,not_enough_info,carbon dioxide
"co2 does not cause climate change, it responds to it [...]",true,supports,"""adaptation to global climate change is an essential response to a warming planet"".",supports,climate change adaptation
"co2 does not cause climate change, it responds to it [...]",true,supports,"""blaming cities for climate change?",not_enough_info,greenhouse gas
"co2 does not cause climate change, it responds to it [...]",true,supports,"a new statement, adopted by the society in 2003, revised in 2007, and revised and expanded in 2013, affirms that rising levels of greenhouse gases have caused and will continue to cause the global surface temperature to be warmer: human activities are changing earth's climate.",not_enough_info,scientific consensus on climate change
"[t]he raw data, the actual thermometer data[...] shows that the us has been cooling for 80 to 90 years.",true,disputed,"it said that ""by 1300 it began to cool, and by 1400 we were well into the little ice age.",not_enough_info,hockey stick controversy
"[t]he raw data, the actual thermometer data[...] shows that the us has been cooling for 80 to 90 years.",true,disputed,"in fact, if one ignores the unusual el nino year of 1998, one sees a cooling trend.""",refutes,hockey stick controversy
"[t]he raw data, the actual thermometer data[...] shows that the us has been cooling for 80 to 90 years.",true,disputed,"that's the data we've had for the past 150 years, which is quite consistent with the expectation that the climate is continuing to warm.""",refutes,hockey stick controversy
"earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 a.d., an epoch called the roman warm period, and more recently the medieval warm period from 900–1100 a.d.",true,supports,"the medieval warm period (mwp) also known as the medieval climate optimum, or medieval climatic anomaly was a time of warm climate in the north atlantic region lasting from c. 950 to c. 1250.",supports,medieval warm period
"earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 a.d., an epoch called the roman warm period, and more recently the medieval warm period from 900–1100 a.d.",true,supports,"1250, during the european middle ages.",not_enough_info,medieval warm period
"earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 a.d., an epoch called the roman warm period, and more recently the medieval warm period from 900–1100 a.d.",true,supports,"1200 ad, and was followed by a decline of temperature levels till between c. 1500 and c. 1700 the coldest phase since the last ice age occurred.""",not_enough_info,medieval warm period
"earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 a.d., an epoch called the roman warm period, and more recently the medieval warm period from 900–1100 a.d.",true,supports,it is thought that between c. 950 and c. 1100 was the northern hemisphere's warmest period since the roman warm period.,supports,medieval warm period
"earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 a.d., an epoch called the roman warm period, and more recently the medieval warm period from 900–1100 a.d.",true,supports,the medieval warm period (mwp) is generally thought to have occurred from c. 950–c.,not_enough_info,medieval warm period
"so that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",true,disputed,most of the climatic warming over the last 50 years is likely to have been caused by increased concentrations of greenhouse gases in the atmosphere.,refutes,scientific consensus on climate change
"so that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",true,disputed,"the intergovernmental panel on climate change said the likelihood was 90 percent to 99 percent that emissions of heat-trapping greenhouse gases like carbon dioxide, spewed from tailpipes and smokestacks, were the dominant cause of the observed warming of the last 50 years.",refutes,scientific consensus on climate change
a windmill could spin until it falls apart and never generate as much energy as was invested in building it.,true,disputed,the energy consumed to manufacture and transport the materials used to build a wind power plant is equal to the new energy produced by the plant within a few months.,refutes,wind farm
a windmill could spin until it falls apart and never generate as much energy as was invested in building it.,true,disputed,"the spread of tower mills came with a growing economy that called for larger and more stable sources of power, though they were more expensive to build.",supports,windmill
sea level rise is not going to happen.,false,refutes,"between 1900 and 2016, the sea level rose by 16–21 cm (6.3–8.3 in).",not_enough_info,sea level rise
sea level rise is not going to happen.,false,refutes,"over the 21st century, this is expected to rise, with glaciers contributing 7 to 24 cm (3 to 9 in) to global sea levels.",refutes,sea level rise
sea level rise is not going to happen.,false,refutes,this could mean rapid sea level rise of up to 19 mm (0.75 in) per year by the end of the century.,refutes,sea level rise
"cold weather to grip world as solar minimum to deepen, nasa says",true,supports,its statements concur with the global scientific consensus that the global climate is warming.,not_enough_info,nasa
"cold weather to grip world as solar minimum to deepen, nasa says",true,supports,"solar physicist dean pesnell of the goddard space flight center came to the following conclusion: ""we're experiencing a very deep solar minimum.""",supports,solar minimum
"cold weather to grip world as solar minimum to deepen, nasa says",true,supports,"""noaa space weather scales page has changed"".",not_enough_info,solar minimum
"cold weather to grip world as solar minimum to deepen, nasa says",true,supports,"the coolest layer of the sun is a temperature minimum region extending to about 500 km above the photosphere, and has a temperature of about 4,100 k. this part of the sun is cool enough to allow the existence of simple molecules such as carbon monoxide and water, which can be detected via their absorption spectra.",not_enough_info,sun
the models predicted about three times the amount of warming in the world we’ve seen since [1988].,true,supports,models referenced by the intergovernmental panel on climate change (ipcc) predict that global temperatures are likely to increase by 1.1 to 6.4 °c (2.0 to 11.5 °f) between 1990 and 2100.,supports,global warming controversy
"the science is clear, climate change is making extreme weather events, including tornadoes, worse.",true,supports,"the main impact of global warming on the weather is an increase in extreme weather events such as heat waves, droughts, cyclones, blizzards and rainstorms.",supports,effects of global warming
"the science is clear, climate change is making extreme weather events, including tornadoes, worse.",true,supports,"documented long-term climate changes include changes in arctic temperatures and ice, widespread changes in precipitation amounts, ocean salinity, wind patterns and extreme weather including droughts, heavy precipitation, heat waves and the intensity of tropical cyclones.",supports,scientific consensus on climate change
"the science is clear, climate change is making extreme weather events, including tornadoes, worse.",true,supports,"as the earth's climate warms, we are seeing many changes: stronger, more destructive hurricanes; heavier rainfall; more disastrous flooding; more areas of the world experiencing severe drought; and more heat waves.""",supports,scientific consensus on climate change
"the science is clear, climate change is making extreme weather events, including tornadoes, worse.",true,supports,"this could lead to changing, and for all emissions scenarios more unpredictable, weather patterns around the world, less frost days, more extreme events (droughts and storm or flood disasters), and warmer sea temperatures and melting glaciers causing sea levels to rise.",supports,scientific consensus on climate change
"the science is clear, climate change is making extreme weather events, including tornadoes, worse.",true,supports,"climate change caused by human activities that emit greenhouse gases into the air is expected to affect the frequency of extreme weather events such as drought, extreme temperatures, flooding, high winds, and severe storms.",supports,weather
the rate of warming according to the data is much slower than the models used by the ipcc,false,refutes,physical climate models are also unable to reproduce the rapid warming observed in recent decades when taking into account only variations in solar output and volcanic activity.,not_enough_info,global warming
the rate of warming according to the data is much slower than the models used by the ipcc,false,refutes,"projections based on the special report on emissions scenarios suggest warming over the 21st century at a more rapid rate than that experienced for at least the last 10,000 years.",refutes,intergovernmental panel on climate change
the rate of warming according to the data is much slower than the models used by the ipcc,false,refutes,"since the start of the 20th century, the global mean surface temperature of the earth has increased by more than 0.7°c and the rate of warming has been largest in the last 30 years.",not_enough_info,scientific consensus on climate change
the rate of warming according to the data is much slower than the models used by the ipcc,false,refutes,"on the basis of available data, climate scientists are now projecting an average global temperature rise over this century of 2.0 to 4.5°c.",not_enough_info,scientific consensus on climate change
the ­atmospheric residency time of carbon dioxide is five years,false,refutes,"five hundred million years ago the carbon dioxide concentration was 20 times greater than today, decreasing to 4–5 times during the jurassic period and then slowly declining with a particularly swift reduction occurring 49 million years ago.",not_enough_info,carbon dioxide
the ­atmospheric residency time of carbon dioxide is five years,false,refutes,"as a result of this balance, the atmospheric mole fraction of carbon dioxide remained between 260 and 280 parts per million for the 10,000 years between the end of the last glacial maximum and the start of the industrial era.",not_enough_info,greenhouse gas
the ­atmospheric residency time of carbon dioxide is five years,false,refutes,n2o has a mean atmospheric lifetime of 121 years.,not_enough_info,greenhouse gas
"sea-level rise does not seem to depend on ocean temperature, and certainly not on co2",true,disputed,"this acceleration is due mostly to human-caused global warming, which is driving thermal expansion of seawater and the melting of land-based ice sheets and glaciers.",refutes,sea level rise
"sea-level rise does not seem to depend on ocean temperature, and certainly not on co2",true,disputed,the heat needed to raise an average temperature increase of the entire world ocean by 0.01 °c would increase the atmospheric temperature by approximately 10 °c.,not_enough_info,sea level rise
"sea-level rise does not seem to depend on ocean temperature, and certainly not on co2",true,disputed,"thus, a small change in the mean temperature of the ocean represents a very large change in the total heat content of the climate system.",not_enough_info,sea level rise
"sea-level rise does not seem to depend on ocean temperature, and certainly not on co2",true,disputed,"because different climate models have slightly different patterns of ocean heating, they do not agree fully on the predictions for the contribution of ocean heating on sea level rise.",supports,sea level rise
there isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,false,refutes,"increases in greenhouse gases, such as by volcanic activity, can increase the global temperature and produce an interglacial period.",refutes,climate
there isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,false,refutes,"in the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",refutes,global warming
there isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,false,refutes,"during the late 20th century, a scientific consensus evolved that increasing concentrations of greenhouse gases in the atmosphere cause a substantial rise in global temperatures and changes to other parts of the climate system, with consequences for the environment and for human health.",refutes,greenhouse gas
there isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,false,refutes,increases in ambient temperatures and changes in related processes are directly linked to rising anthropogenic greenhouse gas (ghg) concentrations in the atmosphere.,refutes,scientific consensus on climate change
[climate scientists] say that aspects of the case of hurricane harvey suggest global warming is making a bad situation worse.,true,supports,"global warming not only causes changes in tropical cyclones, it may also make some impacts from them worse via sea level rise.",supports,effects of global warming
[climate scientists] say that aspects of the case of hurricane harvey suggest global warming is making a bad situation worse.,true,supports,"""it's a fact: climate change made hurricane harvey more deadly"".",supports,hurricane harvey
[climate scientists] say that aspects of the case of hurricane harvey suggest global warming is making a bad situation worse.,true,supports,"the gulf of mexico is known for hurricanes in august, so their incidence alone cannot be attributed to global warming, but the warming climate does influence certain attributes of storms.",supports,hurricane harvey
[climate scientists] say that aspects of the case of hurricane harvey suggest global warming is making a bad situation worse.,true,supports,"weather events are due to multiple factors, and so cannot be said to be caused by one precondition, but climate change affects aspects of extreme events, and very likely worsened some of the impacts of harvey.",supports,hurricane harvey
"the ipcc, the intergovernmental panel on climate change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",false,refutes,"the ipcc provides an internationally accepted authority on climate change, producing reports that have the agreement of leading climate scientists and consensus from participating governments.",not_enough_info,intergovernmental panel on climate change
"the ipcc, the intergovernmental panel on climate change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",false,refutes,"the letter goes on to warn of predicted impacts on the united states such as sea level rise and increases in extreme weather events, water scarcity, heat waves, wildfires, and the disturbance of biological systems.",refutes,scientific consensus on climate change
"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",false,refutes,"between 1993 and 2017, the global mean sea level rose on average by 3.1 ± 0.3 mm per year, with an acceleration detected as well.",not_enough_info,global warming
"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",false,refutes,"currently, surface temperatures are rising by about 0.2 °c per decade.",refutes,global warming
most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,true,supports,"these include processes such as variations in solar radiation, variations in the earth's orbit, variations in the albedo or reflectivity of the continents, atmosphere, and oceans, mountain-building and continental drift and changes in greenhouse gas concentrations.",not_enough_info,climate change (general concept)
most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,true,supports,"eventually the planet will warm to such a degree that the ocean's ability to dissolve water will no longer exist, resulting in a worldwide dead zone.",not_enough_info,climate change and ecosystems
most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,true,supports,"alterations to the ocean currents, due to increased freshwater inputs from glacier melt, and the potential alterations to thermohaline circulation of the worlds oceans, may affect existing fisheries upon which humans depend as well.",not_enough_info,climate change and ecosystems
most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,true,supports,"united states secretary of energy rick perry, in a 19 june 2017 interview with cnbc, acknowledged the existence of climate change and impact from humans, but said that he did not agree with the idea that carbon dioxide was the primary driver of global warming pointing instead to ""the ocean waters and this environment that we live in"".",supports,climate change denial
'global warming' is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,true,supports,on 22 march 2010 the university announced the composition of an independent science assessment panel to reassess key cru papers that have already been peer-reviewed and published in journals.,not_enough_info,climatic research unit email controversy
'global warming' is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,true,supports,academic analysis of the peer-reviewed studies published at that time shows that most papers examining aspects of climate during the 1970s were either neutral or showed a warming trend.,not_enough_info,global cooling
'global warming' is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,true,supports,"his 1861 paper proposed changing concentrations of these gases could have caused ""all the mutations of climate which the researches of geologists reveal"" and would explain ice age changes.",not_enough_info,global warming
increases in atmospheric co2 followed increases in temperature.,true,supports,"increases in atmospheric concentrations of co 2 and other long-lived greenhouse gases such as methane, nitrous oxide and ozone have correspondingly strengthened their absorption and emission of infrared radiation, causing the rise in average global temperature since the mid-20th century.",supports,carbon dioxide
increases in atmospheric co2 followed increases in temperature.,true,supports,"not only do increasing carbon dioxide concentrations lead to increases in global surface temperature, but increasing global temperatures also cause increasing concentrations of carbon dioxide.",not_enough_info,carbon dioxide
increases in atmospheric co2 followed increases in temperature.,true,supports,when co2 levels rise in the atmosphere the temperature increases and plants grow.,not_enough_info,gaia hypothesis
increases in atmospheric co2 followed increases in temperature.,true,supports,"during the late 20th century, a scientific consensus evolved that increasing concentrations of greenhouse gases in the atmosphere cause a substantial rise in global temperatures and changes to other parts of the climate system, with consequences for the environment and for human health.",supports,greenhouse gas
increases in atmospheric co2 followed increases in temperature.,true,supports,increases in ambient temperatures and changes in related processes are directly linked to rising anthropogenic greenhouse gas (ghg) concentrations in the atmosphere.,supports,scientific consensus on climate change
"therefore, co2 levels could not have forced temperatures to rise.",false,refutes,oceanic anoxic events most commonly occurred during periods of very warm climate characterized by high levels of carbon dioxide (co2) and mean surface temperatures probably in excess of 25 °c (77 °f).,not_enough_info,anoxic event
"therefore, co2 levels could not have forced temperatures to rise.",false,refutes,"not only do increasing carbon dioxide concentrations lead to increases in global surface temperature, but increasing global temperatures also cause increasing concentrations of carbon dioxide.",refutes,carbon dioxide
"therefore, co2 levels could not have forced temperatures to rise.",false,refutes,"currently, surface temperatures are rising by about 0.2 °c per decade.",not_enough_info,global warming
sea-level rise is not accelerating.,false,refutes,"more precise data gathered from satellite radar measurements reveal an accelerating rise of 7.5 cm (3.0 in) from 1993 to 2017, which is a trend of roughly 30 cm (12 in) per century.",not_enough_info,sea level rise
sea-level rise is not accelerating.,false,refutes,"""climate-change–driven accelerated sea-level rise detected in the altimeter era"".",refutes,sea level rise
sea-level rise is not accelerating.,false,refutes,climate scientists expect the rate to further accelerate during the 21st century.,not_enough_info,sea level rise
sea-level rise is not accelerating.,false,refutes,"however scientists have found that ice is being lost, and at an accelerating rate.",refutes,sea level rise
local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,true,supports,"local mean sea level (lmsl) is defined as the height of the sea with respect to a land benchmark, averaged over a period of time (such as a month or a year) long enough that fluctuations caused by waves and tides are smoothed out.",not_enough_info,sea level
local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,true,supports,"tides, the generally twice-daily rise and fall of sea levels, are caused by earth's rotation and the gravitational effects of the orbiting moon and, to a lesser extent, of the sun.",supports,sea
local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,true,supports,"tides are the regular rise and fall in water level experienced by seas and oceans in response to the gravitational influences of the moon and the sun, and the effects of the earth's rotation.",supports,sea
local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,true,supports,"for at least the last 100 years, sea level has been rising at an average rate of about 1.8 millimetres (0.071 in) per year.",not_enough_info,sea
the temperature is not rising nearly as fast as the alarmist computer models predicted.,false,refutes,"confidence in model estimates is higher for some climate variables (e.g., temperature) than for others (e.g., precipitation).",refutes,global warming controversy
more than 100 per cent of the warming over the past century is due to human actions,true,supports,"the view that human activities are likely responsible for most of the observed increase in global mean temperature (""global warming"") since the mid-20th century is an accurate reflection of current scientific thinking.",supports,kyoto protocol
more than 100 per cent of the warming over the past century is due to human actions,true,supports,human-caused increases in greenhouse gases are responsible for most of the observed global average surface warming of roughly 0.8 °c (1.5 °f) over the past 140 years.,not_enough_info,scientific consensus on climate change
