claim,veracity,label,evidence,evidence_label,article
current climate predictions may underestimate long-term warming by as much as a factor of two,True,supports,"climate model projections summarized in the report indicated that during the 21st century the global surface temperature is likely to rise a further 0.3 to 1.7 °c (0.5 to 3.1 °f) in a moderate scenario, or as much as 2.6 to 4.8 °c (4.7 to 8.6 °f) in an extreme scenario, depending on the rate of future greenhouse gas emissions and on climate feedback effects.",supports,global warming
global human emissions are only 3 per cent of total annual emissions.,False,refutes,"it is one of the largest sources of greenhouse gases, responsible for 18% of the world's greenhouse gas emissions as measured in co2 equivalents.",refutes,agriculture
"the grasslands, crops, forests and territorial waters of australia absorb more carbon dioxide than australia emits.",True,disputed,"during active photosynthesis, plants can absorb more carbon dioxide from the atmosphere than they release in respiration.",not_enough_info,carbon dioxide
“scientists have published strong evidence that the warming climate is making heat waves more frequent and intense.,True,supports,"a report released in march 2012 by the intergovernmental panel on climate change (ipcc) confirmed that a strong body of evidence links global warming to an increase in heat waves, a rise in episodes of heavy rainfall and other precipitation, and more frequent coastal flooding.",supports,climate change in the united states
‘clean coal’ is an approach in which the emissions from coal-burning power plants would be captured and pumped underground.,True,supports,"carbon capture and storage (ccs) (or carbon capture and sequestration or carbon control and sequestration) is the process of capturing waste carbon dioxide (co 2) usually from large point sources, such as a cement factory or biomass power plant, transporting it to a storage site, and depositing it where it will not enter the atmosphere, normally an underground geological formation.",supports,carbon capture and storage
global ocean circulation appears to be collapsing due to a warming planet,True,supports,there is some concern that a shutdown of thermohaline circulation could happen again as a result of the present warming period.,supports,little ice age
evidence is growing that the comparatively cold zone within the northern atlantic could be due to a slowdown of this global ocean water circulation.,True,supports,the subpolar gyre forms an important part of the global thermohaline circulation.,not_enough_info,atlantic ocean
"melting permafrost can release not just co2, but also methane, a much stronger heat-trapping gas.",True,supports,"permafrost and clathrates degrade on warming, and thus, large releases of methane from these sources may arise as a result of global warming.",supports,permafrost
“arctic land stores about twice as much carbon as the atmosphere.,True,supports,the amount of carbon sequestered in permafrost is four times the carbon that has been released to the atmosphere due to human activities in modern time.,not_enough_info,permafrost
“the northern hemisphere jet stream […] flow is stronger when that temperature difference is large.,True,supports,"if two air masses of different temperatures or densities meet, the resulting pressure difference caused by the density difference (which ultimately causes wind) is highest within the transition zone.",not_enough_info,jet stream
but when the arctic warms up faster than the equator does […] the jet stream’s flow can become weakened and elongated.,True,supports,"therefore, the strong eastward moving jet streams are in part a simple consequence of the fact that the equator is warmer than the north and south poles.",supports,jet stream
warmer oceans have also begun to destabilize glaciers in greenland and antarctica,True,supports,"""a tipping point in refreezing accelerates mass loss of greenland's glaciers and ice caps"".",supports,sea level rise
"the amount of summer sea ice in the arctic has steadily declined over the past few decades because of man-made global warming, according to the national oceanic and atmospheric administration.",True,supports,"global warming has led to decades of shrinking and thinning of the arctic sea ice, making it vulnerable to atmospheric anomalies.",supports,global warming
drought in the western u.s. pales in comparison to the mega-droughts tree rings tell us existed in centuries past.,True,supports,"drought apparently struck what is now the american southwest back in the 13th century, which probably affected the pueblo cities, and tree rings also document drought in the lower and central mississippi river basin between the 14th and 16th century.",supports,droughts in the united states
global warming is driving major melting on the surface of greenland’s glaciers and is speeding up their travel into the sea.”,True,supports,"not only does this increase the absorption of sunlight, it also increases melting and sea level rise.",not_enough_info,global warming
"“as surface temperatures of the oceans warm up, the immediate response is more water vapor in the atmosphere.",True,supports,these isotope changes occurred due to the release of carbon from the ocean into the atmosphere that led to a temperature increase of 4-8 °c (7-14 °f) at the surface of the ocean.,not_enough_info,eocene
"“lyme disease is much more common in northern, cooler regions of the united states than in southern, warmer regions.",True,supports,"these are the climates that are typically found at southernmost portion of the temperate zone between 23.5° and 35° north or south, and thus are far more influenced by the tropics than any other tepid climate type, usually having warmer temperatures over the year, longer summers and mild, short winters.",not_enough_info,temperate climate
"severe storms, floods and agricultural losses may cost a great deal of money, but such extreme weather events—and their resulting costs—are dramatically declining as the earth modestly warms.",False,refutes,"climate change caused by human activities that emit greenhouse gases into the air is expected to affect the frequency of extreme weather events such as drought, extreme temperatures, flooding, high winds, and severe storms.",refutes,weather
the melting in the polar ice caps and in high altitude plains can lead to the dangerous release of methane gas,True,supports,"the potential for major sea level rise depends mostly on a significant melting of the polar ice caps of greenland and antarctica, as this is where the vast majority of glacial ice is located.",not_enough_info,retreat of glaciers since 1850
"the ipcc (2013), usgcrp (2017), and usgcrp (2018) indicate that it is extremely likely that human influence has been the dominant cause of the observed warming since the mid-twentieth century.",True,supports,"the scientific consensus as of 2013[update], as stated in the ipcc fifth assessment report, is that it ""is extremely likely that human influence has been the dominant cause of the observed warming since the mid-20th century"".",supports,global warming
"human activities (mainly greenhouse-gas emissions) are the dominant cause of the rapid warming since the middle 1900s (ipcc, 2013).",True,supports,the dominant cause of the warming since the 1950s is human activities.,supports,scientific consensus on climate change
climate change is due to cosmic rays.,True,disputed,it has been postulated that ionized particles known as cosmic rays could impact cloud cover and thereby the climate.,supports,climate change (general concept)
increasing co2 in the atmosphere has little to no effect.,False,refutes,"increases in atmospheric concentrations of co 2 and other long-lived greenhouse gases such as methane, nitrous oxide and ozone have correspondingly strengthened their absorption and emission of infrared radiation, causing the rise in average global temperature since the mid-20th century.",refutes,carbon dioxide
water vapor is the most powerful greenhouse gas.,True,supports,atmospheric methane concentrations are of interest because it is one of the most potent greenhouse gases in earth's atmosphere.,not_enough_info,atmospheric methane
"over 31,000 scientists signed the oism petition project.",True,supports,during the four-day drive a scientific support for darwinism and for public schools not to teach intelligent design as science gathered 7733 signatures of verifiable scientists.,not_enough_info,project steve
renewables can't provide baseload power.,False,refutes,"egs and hdr technologies, such as hydrothermal geothermal, are expected to be baseload resources which produce power 24 hours a day like a fossil plant.",refutes,renewable energy
coral atolls grow as sea levels rise.,True,supports,gradual sea-level rise also allows for coral polyp activity to increase the reefs.,supports,tuvalu
satellites measure antarctica losing land ice at an accelerating rate.,True,disputed,"more recently, new satellite imaging data led to calculations of thwaites glacier ""ice shelf melt rate of 207 m/year in 2014–2017, which is the highest ice shelf melt rate on record in antarctica.""",supports,retreat of glaciers since 1850
97% of climate experts agree humans are causing global warming.,True,supports,"in the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",supports,global warming
"the warming trend is the same in rural and urban areas, measured by thermometers and satellites.",True,disputed,"in areas with high soot production, such as rural india, as much as 50% of surface warming due to greenhouse gases may be masked by atmospheric brown clouds.",not_enough_info,global warming
"most glaciers are retreating, posing a serious problem for millions who rely on glaciers for water.",True,supports,"in areas that are heavily dependent on water runoff from glaciers that melt during the warmer summer months, a continuation of the current retreat will eventually deplete the glacial ice and substantially reduce or eliminate runoff.",supports,retreat of glaciers since 1850
urban and rural regions show the same warming trend.,True,disputed,"for example, urban and rural trends are very similar.",supports,urban heat island
the natural cycle adds and removes co2 to keep a balance; humans add extra co2 without removing any.,True,supports,the reason for this is that human activities are adding co2 to the atmosphere faster than natural processes can remove it (see carbon dioxide in earth's atmosphere for a complete explanation).,supports,climate change mitigation
scientists have determined that the factors which caused the little ice age cooling are not currently causing global warming.,True,supports,"scientists have determined that the major factors causing the current climate change are greenhouse gases, land use changes, and aerosols and soot.",supports,global warming
the 2nd law of thermodynamics is consistent with the greenhouse effect which is directly observed.,True,supports,"there are many versions of the second law, but they all have the same effect, which is to explain the phenomenon of irreversibility in nature.",not_enough_info,thermodynamics
weather and climate are different; climate predictions do not need weather detail.,False,refutes,a humid continental climate is marked by variable weather patterns and a large seasonal temperature variance.,refutes,climate
"the ocean is absorbing massive amounts of co2, and is becoming more acidic as a result.",True,disputed,"with the production of co2 from the burning of fossil fuels, oceans are becoming more acidic since co2 dissolves in water and forms the acidic bicarbonate ion.",supports,ocean acidification
"theory, models and direct measurement confirm co2 is currently the main driver of climate change.",True,supports,"following le chatelier's principle, the chemical equilibrium of the earth's carbon cycle will shift in response to anthropogenic co2 emissions.",supports,climate change feedback
"benny peiser, the oreskes critic, retracted his criticism.",True,supports,"peiser later admitted that it was a mistake to include one of the papers in his survey and said that his main criticism of oreskes' essay its ""claim of a unanimous consensus on anthropogenic global warming (apg) (as opposed to a majority consensus) is tenuous"" and that it still was valid.",supports,benny peiser
"melting ice leads to more sunlight being absorbed by water, thus heating the arctic.",True,supports,"not only does this increase the absorption of sunlight, it also increases melting and sea level rise.",not_enough_info,global warming
"natural cycles superimposed on a linear warming trend can be mistaken for step changes, but the underlying warming is caused by the external radiative forcing.",True,supports,"this is due to the greenhouse effect, which is caused by greenhouse gases, which trap heat inside the earth's atmosphere because of their more complex molecular structure which allows them to vibrate and in turn trap heat and release it back towards the earth.",not_enough_info,natural environment
the ipcc 95% confidence that humans are responsible for most of the current global warming is simply a summary of the peer-reviewed scientific research.,True,supports,"most of the global average warming over the past 50 years is ""very likely"" (greater than 90% probability, based on expert judgement) due to human activities.",supports,intergovernmental panel on climate change
"every year air pollution protections are delayed, another 34,000 people will die prematurely.",True,supports,"chernobyl: consequences of the catastrophe for people and the environment is a 2007 russian publication that concludes that there were 985,000 premature deaths as a consequence of the radioactivity released.",supports,chernobyl disaster
"wind is a finite resource and harnessing it would slow the winds down, which would cause the temperature to go up.",True,supports,"texas rep. joe barton supposedly once said that 'wind is a finite resource and harnessing it would slow the winds down, which would cause the temperature to go up.",supports,joe barton
"in reality, gas produced by fracking is worse for the climate than coal.",False,refutes,"the largest and most long term effect of coal use is the release of carbon dioxide, a greenhouse gas that causes climate change and global warming.",not_enough_info,coal
"more than 260,000 americans are employed by the domestic solar industry â three times as many workers as employed by the entire coal mining industry.",True,disputed,"the american solar energy industry is highly reliant on foreign parts (80% of parts are made abroad); as a result, the tariffs could raise the costs of solar energy, reduce innovation and reduce jobs in the industry—which in 2017 employed nearly four times as many american workers as the coal industry.",supports,presidency of donald trump
there are already more american jobs in the solar industry than in coal mining.,True,supports,"cerrejón directly employs 4,600 workers, with a further 3,800 employed by contractors.",not_enough_info,coal mining
you're going to have an increase in the amount of ice in antarctica because of global warming.,False,refutes,"the atmosphere and ocean have warmed, the amounts of snow and ice have diminished, sea level has risen, and the concentrations of greenhouse gases have increased ""myths vs. facts: denial of petitions for reconsideration of the endangerment and cause or contribute findings for greenhouse gases under section 202(a) of the clean air act"".",not_enough_info,global warming
global warming is causing more hurricanes and stronger hurricanes.,True,supports,the maximum rainfall and wind speed from hurricanes and typhoons are likely increasing.,supports,global warming
global warming is increasing the magnitude and frequency of droughts and floods.,True,supports,"overall, higher temperatures bring more rain and snowfall, but for some regions droughts and wildfires increase instead.",not_enough_info,global warming
"arctic, antarctic and greenland ice loss is accelerating due to global warming.",True,supports,"the retreat of the arctic sea ice will accelerate global warming, as less ice cover reflects less solar radiation, and may have serious climate implications by contributing to arctic cyclone generation.",not_enough_info,north pole
arctic icemelt is a natural cycle,True,supports,"""arctic cut-off high drives the poleward shift of a new greenland melting record"".",not_enough_info,arctic
"through its impacts on the climate, co2 presents a danger to public health and welfare, and thus qualifies as an air pollutant",True,supports,"climate change will impact agriculture and food production around the world due to the effects of elevated co2 in the atmosphere, higher temperatures, altered precipitation and transpiration regimes, increased frequency of extreme events, and modified weed, pest, and pathogen pressure.",not_enough_info,effects of global warming
excess co2 from human emissions has a long residence time of over 100 years,True,disputed,the atmospheric lifetime of co 2 is estimated of the order of 30–95 years.,refutes,greenhouse gas
'global warming' and 'climate change' mean different things and have both been used for decades.,False,refutes,"in technical sources, the term climate change is also used to refer to past and future climate changes that persist for and extended period of time, and includes regional changes as well as global change.",not_enough_info,global warming
renewables can't provide baseload power,False,refutes,"egs and hdr technologies, such as hydrothermal geothermal, are expected to be baseload resources which produce power 24 hours a day like a fossil plant.",refutes,renewable energy
"co2 increase is natural, not human-caused",False,refutes,"it is likely that anthropogenic (i.e., human-induced) warming, such as that due to elevated greenhouse gas levels, has had a discernible influence on many physical and biological systems.",refutes,greenhouse gas
climate change isn't increasing extreme weather damage costs,False,refutes,"global warming boosts the probability of extreme weather events, like heat waves, far more than it boosts more moderate events.",refutes,heat wave
"scientific analysis of past climates shows that greenhouse gasses, principally co2, have controlled most ancient climate changes.",True,supports,most climate models include the radiative effects of greenhouse gases such as carbon dioxide.,not_enough_info,climatology
"numerous studies into the effect of urban heat island effect and microsite influences find they have negligible effect on long-term trends, particularly when averaged over large regions.",True,disputed,"while the ""heat island"" warming is an important local effect, there is no evidence that it biases trends in the homogenized historical temperature record.",supports,urban heat island
"the co2 amplifies the warming and mixes through the atmosphere, spreading warming throughout the planet.",True,supports,"absorption of infrared light at the vibrational frequencies of atmospheric carbon dioxide traps energy near the surface, warming the surface and the lower atmosphere.",supports,carbon dioxide
"while there are isolated cases of growing glaciers, the overwhelming trend in glaciers worldwide is retreat.",True,supports,"following the little ice age's end around 1850, glaciers around the earth have retreated substantially.",supports,glacier
"while urban areas are undoubtedly warmer than surrounding rural areas, this has had little to no impact on warming trends.",True,supports,"on the other hand, one 1999 comparison between urban and rural areas proposed that urban heat island effects have little influence on global mean temperature trends.",supports,urban heat island
"while the medieval warm period saw unusually warm temperatures in some regions, globally the planet was cooler than current conditions.",True,supports,"global temperature records taken from ice cores, tree rings, and lake deposits, have shown that the earth may have been slightly cooler globally (by 0.03 °c) than in the early and mid-20th century.",supports,medieval warm period
surface measurements find more downward infrared radiation warming the planet's surface.,True,supports,"this heat, in the form of infrared radiation, gets absorbed and emitted by these gases in the atmosphere, thus warming the lower atmosphere and the surface.",supports,global warming
water vapour is the most dominant greenhouse gas.,True,supports,"while water vapour (~50%) and clouds (~25%) are the biggest contributors to the greenhouse effect, they increase as a function of temperature and are therefore considered feedbacks.",supports,global warming
"greenland on the whole is losing ice, as confirmed by multiple satellite and on the ground field measurements.",True,supports,"using data from two ground-observing satellites, icesat and aster, a study published in geophysical research letters (september 2008) shows that nearly 75 percent of the loss of greenland's ice can be traced back to small coastal glaciers.",not_enough_info,greenland ice sheet
"while the greenland interior is in mass balance, the coastlines are losing ice.",True,supports,"""a tipping point in refreezing accelerates mass loss of greenland's glaciers and ice caps"".",not_enough_info,sea level rise
"while there are direct ways in which co2 is a pollutant (acidification of the ocean), its primary impact is its greenhouse warming effect.",True,supports,"while transparent to visible light, carbon dioxide is a greenhouse gas, absorbing and emitting infrared radiation at its two infrared-active vibrational frequencies (see the section ""structure and bonding"" above).",not_enough_info,carbon dioxide
"less energy is escaping to space: carbon dioxide (co2) acts like a blanket; adding more co2 makes the 'blanket' thicker, and humans are adding more co2 all the time.",True,supports,"increases in atmospheric concentrations of co 2 and other long-lived greenhouse gases such as methane, nitrous oxide and ozone have correspondingly strengthened their absorption and emission of infrared radiation, causing the rise in average global temperature since the mid-20th century.",supports,carbon dioxide
satellite and surface measurements find less energy is escaping to space at co2 absorption wavelengths.,True,supports,greenhouse gases are those that absorb and emit infrared radiation in the wavelength range emitted by earth.,supports,greenhouse gas
"""twentieth century global warming did not start until  1910.",False,refutes,"from 1938 guy stewart callendar published evidence that climate was warming and co 2 levels increasing, but his calculations met the same objections.",not_enough_info,global warming
"even during a period of long term warming, there are short periods of cooling due to climate variability.",True,supports,"this warming is short lived, as benthic oxygen isotope records indicate a return to cooling at ~40 million years ago.",not_enough_info,eocene
"a natural cycle requires a forcing, and no known forcing exists that fits the fingerprints of observed warming - except anthropogenic greenhouse gases.",True,supports,"the spatial and temporal fingerprint of warming can be traced to increasing greenhouse gas concentrations in the atmosphere, which are a direct result of burning fossil fuels, broad-scale deforestation and other human activity.""",supports,scientific consensus on climate change
"the minute increase of anthropogenic co2 in the atmosphere (0.008%) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.""",False,refutes,"following the start of the industrial revolution, atmospheric co 2 concentration increased to over 400 parts per million and continues to increase, causing the phenomenon of global warming.",not_enough_info,carbon dioxide in earth's atmosphere
"the human fingerprint in global warming is evident in multiple lines of empirical evidence - in satellite measurements of outgoing infrared radiation, in surface measurements of downward infrared radiation, in the cooling stratosphere and other metrics.",True,supports,it is a major aspect of climate change and has been demonstrated by direct temperature measurements and by measurements of various effects of the warming.,supports,global warming
"""the pacific decadal oscillation (pdo) is a temperature pattern in the pacific ocean that spends roughly 20-30 years in the cool phase or the warm phase.",True,supports,"the pdo is a pattern of pacific climate variability that shifts phases on at least inter-decadal time scale, usually about 20 to 30 years.",supports,climate variability
the long term warming trend indicates the total energy in the earth's climate system is increasing due to an energy imbalance.,True,disputed,"climate forcings are changes that cause temperatures to rise or fall, disrupting the energy balance.",not_enough_info,earth's energy budget
satellites and on-site measurements are observing that himalayan glaciers are disappearing at an accelerating rate.,True,supports,"overall, glaciers in the greater himalayan region that have been studied are retreating an average of between 18 and 20 m (59 and 66 ft) annually.",supports,retreat of glaciers since 1850
"the geologic record provides us with abundant evidence for such perpetual natural climate variability, from icecaps reaching almost to the equator to none at all, even at the poles.",True,supports,"based on this and estimated plant-gas exchange rates and global surface temperatures, the climate sensitivity was calculated to be +3 °c when co2 levels doubled, compared to 7° following the formation of ice at the poles.",not_enough_info,paleocene
"for example, we have a lower understanding of the effect of aerosols while we have a high understanding of the warming effect of carbon dioxide.",True,disputed,"he described this as a faustian bargain because atmospheric aerosols had health risks, and should be reduced, but doing so would effectively increase the warming effects from co 2.",not_enough_info,james hansen
observed sea levels are actually tracking at the upper range of the ipcc projections.,True,supports,"rahmstorf and coauthors showed concern that sea levels are rising at the high range of the ipcc projections, and that this was due to thermal expansion and not from melting of the greenland or antarctic ice sheets.",supports,james hansen
"however, satellite and surface measurements observe an enhanced greenhouse effect at the wavelengths that co2 absorb energy.",True,supports,"while transparent to visible light, carbon dioxide is a greenhouse gas, absorbing and emitting infrared radiation at its two infrared-active vibrational frequencies (see the section ""structure and bonding"" above).",supports,carbon dioxide
"if the co2 effect was saturated, adding more co2 should add no additional greenhouse effect.",True,supports,this increase of co 2 and other long-lived greenhouse gases in earth's atmosphere has produced the current episode of global warming.,not_enough_info,carbon dioxide in earth's atmosphere
"while methane is a more potent greenhouse gas than co2, there is over 200 times more co2 in the atmosphere.",True,supports,"since methane gas is twenty-five times stronger (for a given weight, averaged over 100 years) than co 2 as a greenhouse gas; this would immensely magnify the greenhouse effect.",supports,atmospheric methane
"...livestock are responsible for 18 per cent of the  greenhouse gases that cause global warming, more than cars, planes and  all other forms of transport put together.",True,supports,"animal husbandry is also responsible for greenhouse gas production of co 2 and a percentage of the world's methane, and future land infertility, and the displacement of wildlife.",supports,agriculture
co2 levels are measured by hundreds of stations scattered across 66 countries which all report the same rising trend.,True,supports,measured atmospheric concentrations of carbon dioxide are currently 100 ppm higher than pre-industrial levels.,supports,greenhouse gas
"far from contradicting global warming, record snowfall is predicted by climate models and consistent with our expectation of more extreme precipitation events.",True,supports,"the warming evident in the instrumental temperature record is consistent with a wide range of observations, documented by many independent scientific groups; for example, in most continental regions the frequency and intensity of heavy precipitation has increased.",supports,global warming
australia accounts for 1.5 per cent of global carbon emissions.,False,refutes,"it is one of the largest sources of greenhouse gases, responsible for 18% of the world's greenhouse gas emissions as measured in co2 equivalents.",refutes,agriculture
"it appears, for the entire tropics, the observed outgoing radiation fluxes increase with the increase in sea surface temperatures (ssts).",True,supports,"using isotope proxies to determine ocean temperatures indicates sea surface temperatures in the tropics as high as 35 °c (95 °f) and, relative to present-day values, bottom water temperatures that are 10 °c (18 °f) higher.",not_enough_info,eocene
"ice mass loss is occuring at an accelerated rate in greenland, antarctica and globally from inland glaciers.",True,supports,"pine island glacier (pig) is a large ice stream, and the fastest melting glacier in antarctica, responsible for about 25% of antarctica's ice loss.",supports,pine island glacier
co2 changes are closely related to temperature.,True,supports,"climate sensitivity is the globally averaged temperature change in response to changes in radiative forcing, which can occur, for instance, due to increased levels of carbon dioxide (co 2).",supports,climate sensitivity
"""pollution; none of us are supporting putting substances into the  atmosphere or the waterways that might be pollutants, but carbon dioxide  is not a pollutant.",True,disputed,"flue gas from combustion of the fossil fuels contains carbon dioxide and water vapor, as well as pollutants such as nitrogen oxides (nox), sulfur oxides (sox), and, for coal-fired plants, mercury, traces of other metals, and fly ash.",supports,fossil fuel power station
the long-term correlation between co2 and temperature is well established.,True,disputed,correlation of co 2 and temperature is not part of this evidence.,refutes,global warming controversy
there is no single continuous satellite measurement of total solar irradiance (tsi).,False,refutes,the space-based tsi record comprises measurements from more than ten radiometers spanning three solar cycles.,not_enough_info,solar irradiance
"despite the logarithmic relationship between co2 and surface temperatures, atmospheric co2 levels are rising so fast that unless we dramatically decrease our emissions, global warming will accelerate over the 21st century.",True,supports,"currently, surface temperatures are rising by about 0.2 °c per decade.",supports,global warming
the measurements of the amount of co2 made at the mauna loa observatory are accurate and uncontaminated by any emissions from the volcano.,True,supports,"according to the noaa, mauna loa is the world's oldest continuous co2 monitoring station, and the world's primary benchmark site for measurement of the gas.",not_enough_info,mauna loa observatory
"that atmospheric co2 increase that we observe is a product of temperature  increase, and not the other way around, meaning it is a product of  natural variation...",False,refutes,"during the late 20th century, a scientific consensus evolved that increasing concentrations of greenhouse gases in the atmosphere cause a substantial rise in global temperatures and changes to other parts of the climate system, with consequences for the environment and for human health.",refutes,greenhouse gas
the clearest of these is simple accounting - humans are emitting co2 at a rate twice as fast as the atmospheric increase (natural sinks are absorbing the other half).,True,supports,"presently, oceans are co2 sinks, and represent the largest active carbon sink on earth, absorbing more than a quarter of the carbon dioxide that humans put into the air.",supports,carbon sink
"the satellite sensors show less warming in the lower troposphere (approximately 10,000 feet above the earth’s surface) than is reported by surface temperature readings.",True,supports,"satellite measurements have identified even lower ground temperatures, with −93.2 °c (−135.8 °f) having been observed at the cloud-free east antarctic plateau on 10 august 2010.",not_enough_info,climate of antarctica
