claim,veracity,label
young patients with covid-19 can have sudden strokes with few to no prior risk factors.,true,support
young patients with covid-19 can have sudden strokes with few to no prior risk factors.,true,support
young patients with covid-19 can have sudden strokes with few to no prior risk factors.,true,support
covid-19 is only emitted during large acts of expulsion like coughing and sneezing.,false,refute
all critically ill covid-19 patients required mechanical ventilation to recover.,false,refute
only symptomatic covid-19 patients are infectious.,false,refute
there are no potential treatments for covid-19.,false,refute
nearly 70 drugs and experimental compounds may be effective in treating the covid-19.,true,support
widespread cases of covid-19 in the united states can be traced to domestic transmission.,true,support
mask-wearers with clinical respiratory illness are less likely to infect others in their households who are not wearing masks.,true,support
cases of covid-19 and kawasaki disease occur in isolated instances.,false,refute
covid-19 has been linked with cases of a similar rare condition in children called kawasaki disease.,true,support
the coronavirus is only life-threatening for adult populations.,false,refute
children have the potential to become seriously ill from the coronavirus.,true,support
hydroxychloroquine reduces the risk of death for patients with covid-19.,false,refute
hydroxychloroquine reduces the risk of death for patients with covid-19.,false,refute
the use of hydroxychloroquine alone as a treatment for covid-19 is associated with a higher risk of death.,true,support
the use of hydroxychloroquine alone as a treatment for covid-19 is associated with a higher risk of death.,true,support
covid-19 is predicted to act in resurgent waves of infection.,true,support
there was no impact on the mental health of medical workers treating covid-19 patients.,false,refute
there was no impact on the mental health of medical workers treating covid-19 patients.,false,refute
"high rates of anxiety, depression, and insomnia were found among medical workers who treated covid-19 patients.",true,support
"high rates of anxiety, depression, and insomnia were found among medical workers who treated covid-19 patients.",true,support
adverse mental health outcomes have not been observed among health care workers treating covid-19 patients.,false,refute
health care workers on the frontlines of the coronavirus pandemic suffer elevated rates of mental health issues.,true,support
cats cannot catch covid-19.,false,refute
cats cannot catch covid-19.,false,refute
cats are susceptible to covid-19 infection.,true,support
"researchers at the university of hong kong recently estimated there were probably around 232,000 confirmed covid-19 cases in china by late february 2020, more than four times the number of reported cases at the time.",true,support
"researchers at the university of hong kong recently estimated there were probably around 232,000 confirmed covid-19 cases in china by late february 2020, more than four times the number of reported cases at the time.",true,support
"during the initial outbreak in wuhan, the novel coronavirus spread with an r0 close to 0.",false,refute
"during the initial outbreak in wuhan, the novel coronavirus spread with an r0 close to 0.",false,refute
"during the initial outbreak in wuhan, the novel coronavirus spread with an r0 of 5.7.",true,support
the sars-cov-2 particles traced in patients' stools were highly infectious.,false,refute
the sars-cov-2 particles traced in patients' stools were lacking infectious ability.,true,support
the major outbreaks in the us can be traced back to an early introduction of the coronavirus in january.,false,refute
the major outbreaks in the us can be traced back to an early introduction of the coronavirus in january.,false,refute
there is no airborne transmission of covid-19.,false,refute
covid-19 may be spread through droplets expelled by breathing and talking.,true,support
flat surgical face masks have none or little impact on preventing or reducing coronavirus-carrying respiratory droplets from being released into the surrounding air.,false,refute
flat surgical face masks significantly reduced the number of coronavirus-carrying droplets that mask wearers released into the surrounding air.,true,support
only the oldest patients exhibit illness from covid-19.,false,refute
men often have higher levels of antibodies than women once exposed to covid-19.,false,refute
"in the most severe covid-19 cases, women often had a higher level of antibodies than men.",true,support
the transmission of covid-19 in the united states slowed down in march 2020.,false,refute
the transmission of covid-19 in the united states slowed down in march 2020.,false,refute
the transmission of covid-19 in the united states speeded up in march 2020.,true,support
the length of the covid-19 outbreak cannot be shortened.,false,refute
"coronavirus complications are higher among patients with heart complications, even when previously healthy.",true,support
"initial covid-19 cases in europe and the united states, discovered in january 2020, were unrelated to the outbreaks that eventually followed.",true,support
"initial covid-19 cases in europe and the united states, discovered in january 2020, were unrelated to the outbreaks that eventually followed.",true,support
high levels of il-6 portend respiratory failure and death,true,support
high levels of a cytokine called interleukin-6 (il-6) are associated with respiratory failure and death in covid-19 patients.,true,support
drugs that block interleukin-6 activity can increase likelihood of death among mechanically ventilated covid-19 patients.,false,refute
drugs that block interleukin-6 activity can decrease likelihood of death among mechanically ventilated covid-19 patients.,true,support
there is no evidence that actemra improves outcomes for any patients with covid-19.,false,refute
actemra lowers the risk of death in covid-19 patients with high levels of interleukin-6 (il-6).,true,support
the severity of covid-19 is unrelated to the role of macrophage activation.,false,refute
the severity of covid-19 can be attributed specifically to the role of macrophage activation.,true,support
a simple surgical face mask fails to trap viral droplets from coughs and sneezes.,false,refute
a simple surgical face mask is very effective at trapping viral droplets from coughs and sneezes.,true,support
"horseshoe bats in yunnan province, china, are the most likely originators of the sars-cov virus that infected humans.",true,support
one of the lowest risk factors for critical covid-19 hospitalization is high bmi.,false,refute
one of the lowest risk factors for critical covid-19 hospitalization is high bmi.,false,refute
one of the highest risk factors for critical covid-19 hospitalization is high bmi.,true,support
covid-19 patients with a high bmi are less likely to be critically ill with the virus.,false,refute
covid-19 patients with a high bmi are more likely to be critically ill with the virus.,true,support
covid-19 patients with a high bmi are more likely to be critically ill with the virus.,true,support
only the oldest demographics of covid-19-positive patients have required hospitalization.,false,refute
the seems to be vertical transmission of the new coronavirus from mother to fetus.,false,refute
the new coronavirus does not seem to cross from mother to fetus.,true,support
pro-vaccine facebook clusters are smaller in size than anti-vaccine clusters.,false,refute
anti-vaccine facebook clusters are smaller in size than pro-vaccine clusters.,true,support
"hydroxychloroquinewas associates with “increased overall mortality.""",true,support
"it found no evidence that hydroxychloroquinewas associated with “increased overall mortality.""",false,refute
it found no evidence that hydroxychloroquine reduced patients’ chances of being put on a mechanical ventilator.,true,support
administering hydroxychloroquine to patients with covid-19 greatly lowers their risk of mortality.,false,refute
hydroxychloroquine does not lower the risk of mortality in patients with covid-19.,true,support
hydroxychloroquine does not lower the risk of mortality in patients with covid-19.,true,support
novel coronavirus patients who received hydroxychloroquine were less likely to have abnormal heart rhythms than novel coronavirus patients who did not receive the drug.,false,refute
novel coronavirus patients who received hydroxychloroquine were less likely to have abnormal heart rhythms than novel coronavirus patients who did not receive the drug.,false,refute
novel coronavirus patients who received hydroxychloroquine were more likely to have abnormal heart rhythms than novel coronavirus patients who did not receive the drug.,true,support
novel coronavirus patients who received hydroxychloroquine were more likely to have abnormal heart rhythms than novel coronavirus patients who did not receive the drug.,true,support
social relations have no impact on the coronavirus vaccine and hand washing decisions.,false,refute
social closeness with neighbors was associated with getting the coronavirus vaccine and frequent hand washing.,true,support
children tend to be less susceptible to infection from covid-19 than adults are.,true,support
individuals with covid-19 antibodies present a greater risk in high-transmission settings than individuals without covid-19 antibodies.,false,refute
individuals with covid-19 antibodies present a greater risk in high-transmission settings than individuals without covid-19 antibodies.,false,refute
people who have covid-19 antibodies could safely replace other individuals in high-transmission settings.,true,support
people who have covid-19 antibodies could safely replace other individuals in high-transmission settings.,true,support
the same antibodies from a llama that staved off sars and mers could also neutralize the new virus that causes covid-19.,true,support
the same antibodies from a llama that staved off sars and mers could also neutralize the new virus that causes covid-19.,true,support
the same antibodies from a llama that staved off sars and mers could also neutralize the new virus that causes covid-19.,true,support
locking down sooner in response to the coronavirus would not have saved a significant number of lives.,false,refute
"if the united states had imposed social-distancing measures one week earlier, 36,000 fewer people would have died from the coronavirus.",true,support
"if the united states had imposed social-distancing measures one week earlier, 36,000 fewer people would have died from the coronavirus.",true,support
the covid-19 vaccine currently does not provide immunity.,false,refute
the covid-19 vaccine resulted in a moderate immune response to covid-19.,true,support
"traditional, manual contact tracing is too fast to keep pace with the spread of the novel coronavirus.",false,refute
"traditional, manual contact tracing is too fast to keep pace with the spread of the novel coronavirus.",false,refute
"traditional, manual contact tracing is too slow to keep pace with the spread of the novel coronavirus.",true,support
blood pressure drugs increase severity of covid-19 cases.,false,refute
a new study finds evidence of a sick mother transferring covid-19 to her unborn baby.,false,refute
a new study finds evidence of a sick mother transferring covid-19 to her unborn baby.,false,refute
"although emerging evidence suggests a sick mother cannot transfer covid-19 to an unborn baby, many pregnant women in china are still nervous.",true,support
"although emerging evidence suggests a sick mother cannot transfer covid-19 to an unborn baby, many pregnant women in china are still nervous.",true,support
"older people, men, racial and ethnic minorities, and those with underlying health conditions are among the more vulnerable populations when it comes to covid-19 fatality.",true,support
covid-19 testing that can simultaneously screen patients for the novel coronavirus and its antibodies worsens diagnostic sensitivity.,false,refute
covid-19 testing that can simultaneously screen patients for the novel coronavirus and its antibodies can improve diagnostic sensitivity.,true,support
covid-19 testing that can simultaneously screen patients for the novel coronavirus and its antibodies can improve diagnostic sensitivity.,true,support
treating covid-19 patients is not associated with any psychological effects in medical workers.,false,refute
experiments in mice hint that injecting interferons may help against covid-19,true,support
people naturally do not touch their faces often.,false,refute
people naturally do not touch their faces often.,false,refute
"people touch their eyes, nostrils, and lips frequently.",true,support
"people touch their eyes, nostrils, and lips frequently.",true,support
putting a few americans at risk is worth the value of accelerating covid-19 vaccines.,true,support
with a large number of documented covid-19 infections in march herd immunity was established.,false,refute
a large number of documented covid-19 infections in march did not establish herd immunity.,true,support
transmission of the coronavirus occurs only via viral droplets on surfaces.,false,refute
individuals with covid-19 can transmit the virus by speaking normally in  an enclosed space.,true,support
the novel coronavirus fails to be transmitted by respiratory droplets in cats.,false,refute
the novel coronavirus fails to be transmitted by respiratory droplets in cats.,false,refute
"while the novel coronavirus is present in feces, it cannot be transmitted through them.",false,refute
the novel coronavirus can be passed through virus-laden feces.,true,support
covid-19 was first present in france in january 2020.,false,refute
covid-19 was present in france as early as december 2019.,true,support
non-absorptive material has been shown to be better than absorptive material for personal protective clothing when combating coronaviruses other than sars-cov-2.,false,refute
non-absorptive material has been shown to be better than absorptive material for personal protective clothing when combating coronaviruses other than sars-cov-2.,false,refute
absorbent material has been shown to be better than non-absorptive material for personal protective clothing when combating coronaviruses other than sars-cov-2.,true,support
absorbent material has been shown to be better than non-absorptive material for personal protective clothing when combating coronaviruses other than sars-cov-2.,true,support
a recent study showed that kids with intellectual and developmental disabilities are slightly less likely to die from covid-19.,false,refute
models projecting  expected number of cases and deaths in the coming weeks due to covid-19 are perfectly accurate and precise.,false,refute
models projecting  expected number of cases and deaths in the coming weeks due to covid-19 are perfectly accurate and precise.,false,refute
models projecting  expected number of cases and deaths in the coming weeks due to covid-19 are perfectly accurate and precise.,false,refute
models projecting  expected number of cases and deaths in the coming weeks due to covid-19 are based on little data and have very large uncertainty.,true,support
models projecting  expected number of cases and deaths in the coming weeks due to covid-19 are based on little data and have very large uncertainty.,true,support
models projecting  expected number of cases and deaths in the coming weeks due to covid-19 are based on little data and have very large uncertainty.,true,support
simply speaking normally can release airborne droplets that can transmit covid-19.,true,support
simply speaking normally can release airborne droplets that can transmit covid-19.,true,support
scientists have confirmed that the virus that causes covid-19 was directly transmitted to humans from pangolins.,false,refute
talking can propel thousands of droplets so small they can remain suspended in the air for 8 to 14 hours.,false,refute
talking can propel thousands of droplets so small they can remain suspended in the air for 8 to 14 hours.,false,refute
talking can propel thousands of droplets so small they can remain suspended in the air for eight to 14 minutes.,true,support
favipiravir has been associated with worse health outcomes for covid-19 patients.,false,refute
favipiravir has been associated with worse health outcomes for covid-19 patients.,false,refute
favipiravir may be helpful in treating covid-19.,true,support
favipiravir may be helpful in treating covid-19.,true,support
favipiravir worsened covid-19 in patients.,false,refute
"inhalation of small, floating droplets was an insignificant factor in covid-19 transmission on the diamond princess ship.",false,refute
the covid-19 virus does not spread via airborne droplets.,false,refute
"computer modeling supports evidence implicating small, airborne droplets in multiple outbreaks of covid-19.",true,support
"by june 2020, most of the population in several us metro areas had been infected with the coronavirus.",false,refute
"by june 2020, only a small fraction of the population around us urban centers had been infected with the coronavirus.",true,support
"no individuals in new york city tested positive for antibodies of the novel coronavirus between from april 19-28, 2020.",false,refute
"22.7 percent of new york city residents in the study tested positive for antibodies of the novel coronavirus between from april 19-28, 2020.",true,support
"22.7 percent of new york city residents in the study tested positive for antibodies of the novel coronavirus between from april 19-28, 2020.",true,support
the majority of covid-19-positive patients did not exhibit symptoms.,true,support
it is impossible that the novel coronavirus might include neurological effects.,false,refute
it is possible that the novel coronavirus might include neurological effects.,true,support
wearing a face mask does not reduce the likelihood that someone with coronavirus spreads it to another person.,false,refute
widespread face mask use could result in a large reduction in the spread of covid-19.,true,support
"face coverings can increase the chance that we’ll inadvertently spread the novel coronavirus, infecting others.",false,refute
"face coverings can increase the chance that we’ll inadvertently spread the novel coronavirus, infecting others.",false,refute
"face coverings can reduce the chance that we’ll inadvertently spread the novel coronavirus, infecting others.",true,support
"face coverings can reduce the chance that we’ll inadvertently spread the novel coronavirus, infecting others.",true,support
face coverings have no effect on the transmission rate of the coronavirus.,false,refute
wearing a face covering reduces the chance that individuals with the coronavirus transmit it to others.,true,support
sunlight could increase the amount of the novel coronavirus lingering on surfaces.,false,refute
sunlight could help to reduce the amount of the novel coronavirus lingering on surfaces.,true,support
there is no observable difference between indoor and outdoor spaces with respect to the transmission of covid-19.,false,refute
there is no observable difference between indoor and outdoor spaces with respect to the transmission of covid-19.,false,refute
being indoors with others is an important contributing factor to the spread of covid-19.,true,support
being indoors with others is an important contributing factor to the spread of covid-19.,true,support
covid-19 is more easily spread outdoors.,false,refute
covid-19 is more easily spread outdoors.,false,refute
"synthetic interferons, a treatment option for a number of immune disorders, are inapplicable to the treatment of covid-19.",false,refute
"injecting synthetic interferons, a standard treatment for a number of immune disorders may help treat covid-19.",true,support
"injecting synthetic interferons, a standard treatment for a number of immune disorders may help treat covid-19.",true,support
hydroxychloroquine prevents patients from requiring ventilators.,false,refute
hydroxychloroquine prevents patients from requiring ventilators.,false,refute
hydroxychloroquine does not help patients avoid being placed on a ventilator.,true,support
hydroxychloroquine does not help patients avoid being placed on a ventilator.,true,support
"as a covid-19 treatment on its own, hydroxychloroquine is associated with decreased overall mortality.",false,refute
"as a covid-19 treatment on its own, hydroxychloroquine is associated with increased overall mortality.",true,support
"as a covid-19 treatment on its own, hydroxychloroquine is associated with increased overall mortality.",true,support
ferrets pass the novel coronavirus on to one another in a different way than humans do.,false,refute
ferrets pass the novel coronavirus on to one another in the same way that humans do.,true,support
"as long as you are six feet apart, you cannot contract the coronavirus while indoors.",false,refute
"as long as you are six feet apart, you cannot contract the coronavirus while indoors.",false,refute
the coronavirus can spread through the air in enclosed spaces.,true,support
the coronavirus can spread through the air in enclosed spaces.,true,support
white mortality from covid-19 is 3.57 times black mortality.,false,refute
white mortality from covid-19 is 3.57 times black mortality.,false,refute
black mortality from covid-19 is 3.57 times white mortality.,true,support
black mortality from covid-19 is 3.57 times white mortality.,true,support
the transmission of sars-cov-2 is not related to the airflow direction within an indoor space.,false,refute
the transmission of sars-cov-2 is not related to the airflow direction within an indoor space.,false,refute
"the airflow direction in an air-conditioned restaurant in guangzhou, china where there was an outbreak of covid-19 was consistent with droplet transmission of the sars-cov-2 virus.",true,support
"the airflow direction in an air-conditioned restaurant in guangzhou, china where there was an outbreak of covid-19 was consistent with droplet transmission of the sars-cov-2 virus.",true,support
hospitalization with covid-19 occurs most for young adults.,false,refute
hospitalization with covid-19 occurs significantly more for older adults.,true,support
children are less likely to become sick with covid-19.,true,support
only 12 percent of people with confirmed sars-cov-2 infections have no symptoms.,false,refute
some 43 percent of people with confirmed sars-cov-2 infections have no symptoms.,true,support
sars-cov is unable to infect the central nervous system.,false,refute
"almost 25,000 pigs died from the novel coronavirus sars-cov-2 in guangdong province.",false,refute
"almost 25,000 pigs died from a bat-originated coronavirus sads-cov in guangdong province.",true,support
a peer-reviewed journal published a paper claiming that the new coronavirus (sars-cov-2) probably originated in pangolins.,true,support
a large-scale influenza epidemic simulation finds that closing schools increases the total number of cases in the community by up to 80 percent.,false,refute
there is no evidence that singing increases the likelihood of spreading covid-19.,false,refute
singing may result in increased transmission of covid-19 due to the increased emission of aerosolized virus.,true,support
sars-cov-2 can only be spread by individuals with severe symptoms of coronavirus.,false,refute
surgical masks are effective in preventing infected persons from spreading covid-19 through respiratory droplets.,true,support
research has found no human proteins that interact with sars-cov-2 and are vulnerable to being targeted with drugs.,false,refute
research has found no human proteins that interact with sars-cov-2 and are vulnerable to being targeted with drugs.,false,refute
immunity to covid-19 lasts approximately fifteen months on average after recovery.,false,refute
it is current unclear how long immunity will last after recovery from a case of covid-19.,true,support
results of all covid-19 test kits can be trusted.,false,refute
results of all covid-19 test kits can be trusted.,false,refute
some covid-19 test kits are not reliable enough to use,true,support
some covid-19 test kits are not reliable enough to use,true,support
there are no tests that can detect covid-19.,false,refute
covid-19 elisa and lateral flow immunoassays tests are not yet reliable enough to use.,true,support
covid-19 elisa and lateral flow immunoassays tests are not yet reliable enough to use.,true,support
estimates from researchers put the r0 of covid-19 between 2 and 3.,true,support
antibody tests are unable to detect if someone has ever had the novel coronavirus.,false,refute
antibody tests are unable to detect if someone has ever had the novel coronavirus.,false,refute
antibody tests can tell if someone has ever had the novel coronavirus.,true,support
antibody tests can tell if someone has ever had the novel coronavirus.,true,support
no company has ever made a test for immunity to diseases like covid-19.,false,refute
younger patients and those with chronic ailments seem to get more severely ill from coronavirus.,false,refute
older patients and those with chronic ailments get more severely ill from coronavirus.,true,support
covid-19 patients experience no significant risk factors for delirium during their treatment.,false,refute
covid-19 patients typically are at high risk for delirium.,true,support
there are no demographic-based differences in engaging in health behaviors protecting against coronavirus.,false,refute
men have been less likely than women to engage in coronavirus protective health behaviors.,true,support
men have been less likely than women to engage in coronavirus protective health behaviors.,true,support
there is no association between near-universal mask wearing and a reduction in covid-19 transmission in hong kong.,false,refute
there is no association between near-universal mask wearing and a reduction in covid-19 transmission in hong kong.,false,refute
there is no association between near-universal mask wearing and a reduction in covid-19 transmission in hong kong.,false,refute
"in hong kong, citizens’ near-universal mask-wearing is a factor in the reduced transmission of covid-19.",true,support
"in hong kong, citizens’ near-universal mask-wearing is a factor in the reduced transmission of covid-19.",true,support
"in hong kong, citizens’ near-universal mask-wearing is a factor in the reduced transmission of covid-19.",true,support
homemade cloth masks are more effective than proper surgical ones in blocking bacterial and viral aerosols.,false,refute
homemade cloth masks are more effective than proper surgical ones in blocking bacterial and viral aerosols.,false,refute
homemade cloth masks are more effective than proper surgical ones in blocking bacterial and viral aerosols.,false,refute
homemade cloth masks are less effective than proper surgical ones in blocking bacterial and viral aerosols.,true,support
homemade cloth masks are less effective than proper surgical ones in blocking bacterial and viral aerosols.,true,support
there is no link between a patient's nutrient composition and the administration of coronavirus treatments.,false,refute
covid-19 has a secondary attack rate of 80 percent.,false,refute
"from march through may 2020, the number of deaths in the us was 122,000 higher than expected without the pandemic.",true,support
those with higher overall covid-19 antibodies may experience a decline in antibodies faster than those with fewer overall covid-19 antibodies.,false,refute
those with higher overall covid-19 antibodies may experience a decline in antibodies faster than those with fewer overall covid-19 antibodies.,false,refute
those with fewer overall covid-19 antibodies may experience a decline in antibodies faster than those with higher overall covid-19 antibodies.,true,support
those with fewer overall covid-19 antibodies may experience a decline in antibodies faster than those with higher overall covid-19 antibodies.,true,support
the presence of antibodies is the only way to detect if someone has had exposure to covid-19.,false,refute
the presence of antibodies is the only way to detect if someone has had exposure to covid-19.,false,refute
some people recovering from covid-19 show strong t-cell responses while not having detectable antibodies.,true,support
some people recovering from covid-19 show strong t-cell responses while not having detectable antibodies.,true,support
some people recovering from covid-19 show strong t-cell responses while not having detectable antibodies.,true,support
the only virus that bears substantial genetical similarity to the virus that causes covid-19 is a coronavirus which typically affects cows.,false,refute
the virus that causes covid-19 is closely genetically related to a coronavirus found in bats.,true,support
asymptomatic carriers of covid-19 have been responsible for more infections than those with symptoms because there have been more asymptomatic cases.,true,support
"genetically, sars-cov-2 is dissimilar to coronaviruses found in pangolins.",false,refute
studies have found a genetic similarity between sars-cov-21 and coronaviruses found in pangolins.,true,support
sewage surveillance is not an effective way to monitor the presence of coronavirus in a population.,false,refute
coronavirus would not appear in city sewage.,false,refute
covid-19 patients receiving hydroxychloroquine died at higher rates than other novel coronavirus patients not receiving the regimen.,true,support
there is no evidence that pregnant women with coronavirus suffer more severe complications than non-pregnant populations.,true,support
"compared to medical masks, cloth masks are associated with lower infection outcomes.",false,refute
"compared to medical masks, cloth masks are associated with lower infection outcomes.",false,refute
"compared to medical masks, cloth masks are associated with lower infection outcomes.",false,refute
"compared to medical masks, cloth masks are associated with higher infection outcomes.",true,support
"compared to medical masks, cloth masks are associated with higher infection outcomes.",true,support
it is advised to limit nonessential travel to countries that have seen the highest numbers of cases of covid-19 to reduce the spread of covid-19.,true,support
covid-19 can be transmitted by pre-symptomatic individuals.,true,support
how well a surgical mask protects the wearer from smaller particles is fairly constant.,false,refute
surgical face masks significantly increase droplets expelled by those with respiratory viral illness.,false,refute
surgical masks do not provide you with full protection from covid-19.,true,support
surgical masks are as effective as respiratory protection devices at protecting individuals from covid-19.,false,refute
genetic sequencing indicates that the virus that causes covid-19 is likely to have originated in bats.,true,support
"viruses do not spread easily among different bat species sharing living spaces, such as caves and hollowed out trees.",false,refute
"viruses do not spread easily among different bat species sharing living spaces, such as caves and hollowed out trees.",false,refute
"members of different bat species share living spaces in very large groups, allowing viruses to spread easily among them.",true,support
the worst material to slip in a cloth mask as a filter is polypropylene.,false,refute
the best material to slip in a cloth mask as a filter is polypropylene.,true,support
there have been no covid-19 cases related to cruise voyages.,false,refute
there is no correlation between when symptoms appear and when amounts of the novel coronavirus are detectable in a person.,false,refute
social distancing of at least 1 meter reduces covid-19 transmission.,true,support
there is no correlation between participation in fitness activities and the transmission of coronavirus.,false,refute
the spread of coronavirus has been associated with activities like panting from exertion at the gym.,true,support
"among women with covid-19, pregnant women are at increased risk of being hospitalized.",true,support
there have only been a handful of studies so far on the effects of mask wearing on curbing transmission of covid-19.,false,refute
many studies examine the effect of mask wearing on transmission of covid-19.,true,support
covid-19-positive patients who do not show symptoms are not contagious.,false,refute
people can spread the coronavirus before they started coughing and feeling achy.,true,support
"under 30% of 25,000 confirmed covid-19 cases in wuhan, china are likely to be asymptomatic or mild-symptom individuals.",false,refute
"under 30% of 25,000 confirmed covid-19 cases in wuhan, china are likely to be asymptomatic or mild-symptom individuals.",false,refute
"under 30% of 25,000 confirmed covid-19 cases in wuhan, china are likely to be asymptomatic or mild-symptom individuals.",false,refute
young people in new york and los angeles are broadly against measures such as wearing face masks.,false,refute
young people in new york and los angeles are broadly against measures such as wearing face masks.,false,refute
young people in new york and los angeles are broadly supportive of measures such as wearing face masks.,true,support
but it’s important to note all people with coronavirus have symptoms.,false,refute
it’s important to note many people with coronavirus — possibly up to 50% — have no symptoms at all.,true,support
the coronavirus is more dangerous for the elderly than the young.,true,support
the coronavirus is more dangerous for the elderly than the young.,true,support
the new crown virus is more dangerous for young people than old people.,false,refute
the new crown virus is more dangerous for young people than old people.,false,refute
most covid-19 patients in a wuhan hospital in january 2020 were women.,false,refute
most covid-19 patients in a wuhan hospital in january 2020 were women.,false,refute
most covid-19 patients in a wuhan hospital in january 2020 were men.,true,support
there is little consensus among the blood proteins found in severely ill covid-19 patients.,false,refute
scientists have found trends in common blood proteins found in severely ill covid-19 patients.,true,support
recent scientific studies find no evidence of localized genetic susceptibility to respiratory failure in covid-19 patients.,false,refute
religious gatherings have not caused the widespread transmission of covid-19.,false,refute
airflow within a room is a reliable method for inhibiting covid-19 transmission.,false,refute
"among healthcare workers caring for patients with covid-19, female front-line workers are less affected by mental health conditions such as depression or anxiety than the body of healthcare workers overall.",false,refute
patients who had been infected with sars do not retain the virus-specific antibodies in their bodies indefinitely.,true,support
patients who had been infected with sars do not retain the virus-specific antibodies in their bodies indefinitely.,true,support
2019-ncov is a coronavirus that crossed over from animals to humans.,true,support
2019-ncov is a coronavirus that crossed over from animals to humans.,true,support
the virus 2019-ncov originated in the human population.,false,refute
the virus 2019-ncov originated in the human population.,false,refute
the novel coronavirus is from a different species than the virus that caused the outbreak of severe acute respiratory syndrome (sars) in china in 2002-2003.,false,refute
wearing face masks can increase the risk of novel coronavirus infection.,false,refute
wearing face masks can reduce the risk of novel coronavirus infection.,true,support
wearing face masks can increase the risk of novel coronavirus infection.,false,refute
wearing face masks can reduce the risk of novel coronavirus infection.,true,support
wearing face masks can reduce the risk of novel coronavirus infection.,true,support
"at the time of writing, there were several effective therapies in combatting covid-19.",false,refute
"at the time of writing, there were no effective therapies in combatting covid-19.",true,support
"at the time of writing, there were no effective therapies in combatting covid-19.",true,support
increase health care capacity would have no effect on the duration of the covid-19 pandemic.,false,refute
building up health care capacity is required to curb the covid-19 pandemic.,true,support
limiting the use of crowded workspaces does not slow the spread of coronavirus.,false,refute
limiting the use of crowded workspaces where workers were in close proximity slows the spread of coronavirus.,true,support
young people are at high risk of dying from covid-19 infection.,false,refute
the risk of dying from covid-19 infection among young people is relatively low.,true,support
the novel coronavirus uses a different entry point into human cells as sars does.,false,refute
the novel coronavirus uses a different entry point into human cells as sars does.,false,refute
the novel coronavirus uses the same entry point into human cells as sars does.,true,support
the novel coronavirus uses the same entry point into human cells as sars does.,true,support
"among those who contract covid-19, children have the highest mortality rate.",false,refute
advanced age is a risk factor for a severe outcome in covid-19 cases.,true,support
"the spike d614g mutation is does not spread as easily as other variants, and is therefore not concerning.",false,refute
the spike d614g mutation began spreading in europe in february 2020.,true,support
there is no link between the activity of singing and the transmission of covid-19.,false,refute
singing may contribute to the transmission of covid-19 through the emission of aerosols.,true,support
contracting the virus outdoors is extremely likely.,false,refute
contracting the virus outdoors is extremely likely.,false,refute
contracting the virus outside is very unlikely.,true,support
you have the greatest chance of becoming infected with covid-19 when outside.,false,refute
there is a greater risk of catching covid-19 indoors than there is risk of catching it outdoors.,true,support
"most recommend adopting a range of measures, from mask use to physical distancing, to slow the virus’s spread and save lives.",true,support
masks speed up the spread of the virus.,false,refute
